abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
4hoxoh	4-Hydroxy-2-oxohexanoic acid	C6H9O4	-1	Cytosol	C06762	104-87-0	49044	4	
1ag3p_SC	1-Acyl-sn-glycerol 3-phosphate	C1920H3622O700P100	-200	Cytosol			1452331	6	
m7mpdol_L	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1720H2828N20O570P20	-20	Endoplasmic Reticulum			1809515	2	
m4masn	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C46H77N2O35X	0	Golgi Apparatus			1822816	2	
dhadrpr	7,8-dihydropterin-6-ylmethyl-1-(4-aminophenyl)-1-deoxy-5-[1-A-D-ribofuranosyl 5'-phosphate]-D-ribitol	C23H31N6O12P	-2	Cytosol			1885493	9	
gncore1	GlcNAc-alpha-1,4-Core 1	C22H37N2O15X	0	Golgi Apparatus			1898482	2	
adocblhbi	Adenosylcobalamin-HBI	C70H96CoN18O18P	0	Cytosol			1915379	9	
5moxact	5-Methoxyindoleacetate	C11H10NO3	-1	Cytosol	C05660	608-07-1	46224	2	
kmycolate	keto mycolate (2 cyclopropanated rings)	C86H166O3	-1	Cytosol			2241753	10	
gpi_prot_hs	glycophosphatidylinositol (GPI)-anchored protein	C55H106N4O38P4FULLRCO2FULLR2CO2X	0	Endoplasmic Reticulum			2289441	2	
ksi_pre12	keratan sulfate I biosynthesis, precursor 12	C135H218N9O106S3X	-4	Golgi Apparatus			2296825	2	
iodine	Iodine	I2	0	Cytosol	C01382	7553-56-2	37476	2	
hdcecrn	Hexadecenoyl carnitine	C23H43NO4	0	Cytosol, Mitochondria			2362823	2	
4hbzcoa	4-hydroxybenoyl-CoA	C28H36N7O18P3S	-4	Mitochondria			2392523	2	
ksii_core2_deg2	keratan sulfate II (core 2-linked), degradation product 2	C70H114N5O56S2X	-2	Lysosome			2418057	2	
dsbcox	protein disulfide isomerase II (oxidized)	X	0	Periplasm			2703939	5	
leuktrF4	leukotriene F4	C28H42N2O8S	-2	Cytosol			2705818	2	
agalfragund	arabinofuranose-galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate (M tb)	C254H423NO171P2	-2	Cytosol			2975766	10	
tmha1	tetramycolyl hexaarabinoside (tdm1 + tdm2 +tre) (Mtb)	C360H684O40	0	Cytosol			2979314	10	
6hnac	6-Hydroxynicotinate	C6H4NO3	-1	Cytosol	C01020	5006-66-6	36639	4	
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	Cytosol	C00236	None	34342	1,10,2,3,4,5,6,7,8,9	
xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C00231	None	34329	1,10,2,3,4,5,6,7,8,9	
accoa	Acetyl-CoA	C23H34N7O17P3S	-4	Peroxisome, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Nucleus, Mitochondria	C00024	72-89-9	33558	1,10,2,3,4,5,6,7,8,9	
hco3	Bicarbonate	CHO3	-1	Extra-organism, Cytosol, Nucleus, Mitochondria	C00288	71-52-3	34509	1,10,2,3,4,5,6,7,9	
gal	D-Galactose	C6H12O6	0	Extra-organism, Cytosol, Periplasm, Lysosome	C00124	59-23-4	33945	1,10,2,3,5,6	
gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00446	2255-14-3	35001	1,10,2,3,5,6,9	
gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1	Extra-organism, Cytosol, Periplasm	C00352	3616-42-0	34709	1,10,2,3,4,5,6,7,9	
rbl-L	L-Ribulose	C5H10O5	0	Cytosol	C00508		35195	1,10,5,7	
ametam	S-Adenosylmethioninamine	C14H24N6O3S	2	Cytosol	C01137		36895	1,10,2,3,4,5,6,7	
val-L	L-Valine	C5H11NO2	0	Extra-organism, Cytosol, Periplasm, Mitochondria	C00183	72-18-4	34167	1,10,2,3,4,5,6,7,9	
thr-L	L-Threonine	C4H9NO3	0	Extra-organism, Cytosol, Periplasm, Mitochondria	C00188	72-19-5	34186	1,10,2,3,4,5,6,7,9	
anth	Anthranilate	C7H6NO2	-1	Cytosol	C00108	118-92-3	33883	1,10,2,3,4,5,6,7,9	
chor	chorismate	C10H8O6	-2	Cytosol	C00251	55508-12-8	34395	1,10,3,4,5,6,7,9	
phpyr	Phenylpyruvate	C9H7O3	-1	Cytosol, Mitochondria	C00166	156-06-9	34111	1,10,2,3,4,5,6,7,9	
indole	Indole	C8H7N	0	Extra-organism, Cytosol, Periplasm	C00463	120-72-9	35045	1,10,3,4,5,9	
prfp	1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	C15H21N5O15P2	-4	Cytosol	C04896		44846	1,10,4,5,6,7,9	
hcys-L	L-Homocysteine	C4H9NO2S	0	Peroxisome, Cytosol	C00155	6027-13-0	45588	1,10,2,3,4,5,6,7,9	
dump	dUMP	C9H11N2O8P	-2	Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00365	964-26-1	34762	1,10,2,3,4,5,6,7,9	
thymd	Thymidine	C10H14N2O5	0	Extra-organism, Cytosol, Periplasm, Mitochondria, Lysosome	C00214	50-89-5	50348	1,10,2,3,4,5,6,7,9	
dadp	dADP	C10H12N5O9P2	-3	Cytosol, Nucleus, Mitochondria	C00206	None	34254	1,10,2,3,4,5,6,7,9	
nicrnt	Nicotinate D-ribonucleotide	C11H12NO9P	-2	Cytosol, Nucleus, Mitochondria	C01185		37018	1,10,2,3,4,5,6,7,9	
2dhp	2-Dehydropantoate	C6H9O4	-1	Cytosol, Mitochondria	C00966		36502	1,10,3,4,5,6,7,9	
4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol, Mitochondria	C00233		34334	1,10,2,3,4,5,6,7,9	
b2coa	Crotonoyl-CoA	C25H36N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C00877	102680-35-3	36265	2,4,5,7	
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	Cytosol	C11435		216317	1,10,3,4,5,7	
mana	D-Mannonate	C6H11O7	-1	Cytosol	C00514		35217	1,5	
fe2	Fe2+	Fe	2	Extra-organism, Cytosol, Periplasm, Mitochondria	C14818	None	33552	1,10,2,3,4,5,6,7,9	
arab-L	L-Arabinose	C5H10O5	0	Extra-organism, Cytosol, Periplasm	C00259	147-81-9	34429	1,10,2,5,6	
udcpdp	Undecaprenyl diphosphate	C55H89O7P2	-3	Cytosol, Periplasm	C04574		42055	1,10,3,4,5,7	
amp	AMP	C10H12N5O7P	-2	Peroxisome, Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Periplasm, Mitochondria, Lysosome	C00020	61-19-8	33534	1,10,2,3,4,5,6,7,8,9	
gam1p	D-Glucosamine 1-phosphate	C6H13NO8P	-1	Cytosol	C06156		47544	1,10,3,4,5,6,7,9	
valtrna	L-Valyl-tRNA(Val)	C5H10NOR	1	Cytosol, Mitochondria	C02554		52766	4,5,6,9	
trnaasn	tRNA(Asn)	C10H17O10PR2	0	Cytosol, Mitochondria	C01637		38056	5,6,7	
k	potassium	K	1	Extra-organism, Golgi Apparatus, Cytosol, Periplasm	C00238		34349	1,10,2,5,6,7,9	
mqn6	Menaquinone 6	C41H56O2	0	Cytosol			1436706	10,3	
glyald	D-Glyceraldehyde	C3H6O3	0	Extra-organism, Cytosol, Periplasm	C00577	453-17-8	35402	1,2,3,4,5,6,7,9	
pgp_HP	Phosphatidylglycerol phosphate Hp specific	C39H73O13P2	-3	Cytosol			1440999	3	
malcoa	Malonyl-CoA	C24H33N7O19P3S	-5	Peroxisome, Cytosol, Mitochondria	C00083	524-14-1	33789	1,10,2,3,4,5,6,7	
idp	IDP	C10H11N4O11P2	-3	Extra-organism, Cytosol, Nucleus, Mitochondria	C00104	86-04-4	33869	1,10,2,5,6,7,9	
56dihindlcrbxlt	5,6-Dihydroxyindole-2-carboxylate	C9H6NO4	-1	Cytosol			1444022	2	
ch4s	Methanethiol	CH4S	0	Extra-organism, Cytosol	C00409	74-93-1	34895	4,6,9	
3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	Cytosol, Mitochondria	C00141		34011	1,10,2,3,4,5,6,7,9	
dann	7,8-Diaminononanoate	C9H21N2O2	1	Extra-organism, Cytosol	C01037		36673	1,10,3,5,6,7,9	
id3acald	Indole-3-acetaldehyde	C10H9NO	0	Extra-organism, Cytosol, Mitochondria	C00637	2591-98-2	35561	10,2,6,7	
trnaphe	tRNA(Phe)	R	0	Cytosol, Mitochondria	C01648		38078	4,5,6,9	
tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C02593		40154	10,2,4,5,6,7	
3odcoa	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	Peroxisome, Cytosol	C05265		45458	2,4,5,6,7	
hdcea	Hexadecenoate (n-C16:1)	C16H29O2	-1	Peroxisome, Extra-organism, Cytosol, Periplasm	C08362		246167	1,10,2,5,6,7	
drib	Deoxyribose	C5H10O4	0	Extra-organism, Cytosol	C01801	533-67-5	38440	2,6,7	
g3pg	Glycerophosphoglycerol	C6H14O8P	-1	Extra-organism, Cytosol, Periplasm	C03274	11034-93-8	41538	1,5,7	
2oxoadp	2-Oxoadipate	C6H6O5	-2	Cytosol, Mitochondria	C00322	3184-35-8	1485244	2,4,6	
L2aadp	L-2-Aminoadipate	C6H10NO4	-1	Cytosol, Mitochondria	C00956	542-32-5	1485280	2,4,6	
4fumacac	4-Fumarylacetoacetate	C8H6O6	-2	Cytosol	C01061	28613-33-4	1485275	2,4,6	
Lkynr	L-Kynurenine	C10H12N2O3	0	Cytosol	C00328	343-65-7	1485286	2,6	
f1p	D-Fructose 1-phosphate	C6H11O9P	-2	Cytosol	C01094	15978-08-2	40936	1,2,3,4,5,6,7,9	
man6p	D-Mannose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00275	None	34471	1,10,2,3,5,6,7,9	
ACP	acyl carrier protein	C11H21N2O7PRS	-1	Cytosol, Mitochondria	C00229		1436893	1,10,2,3,4,5,6,7	
c226crn	cervonyl carnitine	C29H45NO4	0	Cytosol, Mitochondria			1586101	2	
oxam	Oxamate	C2H2NO3	-1	Cytosol	C01444	471-47-6	37602	5	
dha	Dihydroxyacetone	C3H6O3	0	Extra-organism, Cytosol, Periplasm	C00184	96-26-4	34170	1,2,5,6,7,9	
dedolp_U	Dehydrodolichol phosphate, human uterine homolog	C1025H1650O40P10	-20	Cytosol			1821321	2	
rb15bp	D-Ribulose 1,5-bisphosphate	C5H8O11P2	-4	Cytosol	C01182	24218-00-6	37014	9	
occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C01944		38747	10,2,4,5,6,7	
glyc1p	Glycerol 1-phosphate	C3H7O6P	-2	Cytosol	C00623		35518	9	
f420-6	coenzyme ferredoxin 420-6	C49H56N9O30P	-8	Cytosol			1897956	9	
man	D-Mannose	C6H12O6	0	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Periplasm, Lysosome	C00159	3458-28-4	34085	1,10,2,5,6,7	
alac-S	(S)-2-Acetolactate	C5H7O4	-1	Extra-organism, Cytosol, Mitochondria	C06010		109372	1,10,3,4,5,6,7,9	
fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2	Peroxisome, Cytosol, Endoplasmic Reticulum, Mitochondria	C00016	146-14-5	33521	1,10,2,3,4,5,6,7	
dtt	Dithiothreitol	C4H10O2S2	0	Cytosol	C00265	3483-12-3	34442	10,2	
biocyt	Biocytin	C16H28N4O4S	0	Extra-organism, Cytosol, Nucleus, Mitochondria	C05552		46012	2	
2mbcoa	2-Methylbutanoyl-CoA	C26H40N7O17P3S	-4	Cytosol, Mitochondria	C01033		36663	2,4,7	
3h26dm5coa	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	C31H48N7O18P3S	-4	Peroxisome, Mitochondria			2266112	2	
egme	ecgonine methyl ester	C10H17NO3	0	Endoplasmic Reticulum		7143-09-1	2267774	2	
25hvitd3	25-Hydroxyvitamin D3	C27H44O2	0	Extra-organism, Cytosol, Mitochondria			2289142	2	
m(em)3gacpail_hs	mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A)	C61H116N4O43P4FULLRCO2FULLR2CO2	0	Endoplasmic Reticulum			2289621	2	
avite1	alpha-Tocopherol	C29H50O2	0	Extra-organism, Cytosol			2296507	2	
ksi_pre7	keratan sulfate I biosynthesis, precursor 7	C115H187N8O85SX	-2	Golgi Apparatus			2296820	2	
cs_c_pre3	chondroitin sulfate C (GalNAc6S-GlcA), precursor 3	C45H67N2O42S2X	-4	Golgi Apparatus			2300737	2	
Lcystin	L-Cystine	C6H12N2O4S2	0	Extra-organism, Cytosol	C00491	56-89-3	35134	2	
peamn	Phenethylamine	C8H12N	1	Extra-organism, Cytosol, Periplasm	C05332	64-04-0	45591	1,10,2,5	
dcmp	dCMP	C9H12N3O7P	-2	Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria, Lysosome	C00239	1032-65-1	34352	1,10,2,4,5,6,7,9	
enlipa	phosphoethanolamine KDO(2)-lipid (A)	C112H202N3O42P3	-6	Extra-organism, Periplasm			2374283	5	
xolest_hs	cholesterol ester	C27H45XCO2	0	Extra-organism, Cytosol, Endoplasmic Reticulum	C02530	474-25-9	40037	2	
cs_d_deg2	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2	C37H53NO44S4	-6	Lysosome			2416175	2	
ksi_deg37	keratan sulfate I, degradation product 37	C62H104N4O46	0	Lysosome			2416946	2	
acgalfucgalacglcgal14acglcgalgluside_hs	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C72H125N4O41FULLRCO	0	Golgi Apparatus			2419441	2	
fuc132galacglcgal14acglcgalgluside_hs	V3Fuc-nLc6Cer	C64H112N3O36FULLRCO	0	Golgi Apparatus			2419465	2	
murein4px4p	two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)	C74H112N14O39	-4	Periplasm			2528325	5	
dcsptn1coa	docosa-4,7,10,13,16-pentaenoyl coenzyme A	C43H64N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria			2218825	2	
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H41N2O9PRS	-1	Cytosol			2617017	4,5	
gthrd	Reduced glutathione	C10H16N3O6S	-1	Extra-organism, Cytosol, Endoplasmic Reticulum, Periplasm, Mitochondria	C00051	70-18-8	33669	1,10,2,3,4,5,6,7,9	
leuktrE4	leukotriene E4	C23H36NO5S	-1	Cytosol			2705740	2	
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5	0	Cytosol, Periplasm	C00641		2618973	5	
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P1	-1	Cytosol, Periplasm			2706839	5	
ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol, Endoplasmic Reticulum	C00199	4151-19-3	34237	1,10,2,3,4,5,6,7,8,9	
appnn	(+)-alpha-Pinene	C10H16	0	Extra-organism, Cytosol	C06306	7440-38-2	47909	2	
cdpc16c19g	cdp diacylglycerol (C16:0, C19:0)	C47H85N3O15P2	-2	Cytosol			2920122	10	
kdo2lipid4	KDO(2)-lipid IV(A)	C84H148N2O37P2	-6	Extra-organism, Cytosol, Periplasm	C06025		1450113	1,5	
arpp	5-phosphoarabinose pyrophosphate	C5H8O14P3	-5	Cytosol			2970022	10	
Lpipecol	L-Pipecolate	C6H11NO2	0	Peroxisome, Cytosol	C00408	535-75-1	34890	2,4	
ga	Gallic acid	C7H5O5	-1	Extra-organism, Cytosol, Periplasm	C01424	149-91-7	37564	4	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P	-3	Cytosol	C04442		43826	1,3,4,5	
prbatp	1-(5-Phosphoribosyl)-ATP	C15H19N5O20P4	-6	Cytosol	C02739		40470	1,10,4,5,6,7,9	
sl2a6o	N-Succinyl-2-L-amino-6-oxoheptanedioate	C11H12NO8	-3	Cytosol	C04462		43864	1,10,3,4,5,7	
db4p	3,4-dihydroxy-2-butanone 4-phosphate	C4H7O6P	-2	Cytosol	C15556		199371	1,10,3,4,5,6,7,9	
pan4p	Pantetheine 4'-phosphate	C11H21N2O7PS	-2	Cytosol, Mitochondria	C01134		36886	1,10,2,3,4,5,6,7,9	
octdp	all-trans-Octaprenyl diphosphate	C40H65O7P2	-3	Cytosol	C04146		43243	1,10,3,5,7	
nmn	NMN	C11H14N2O8P	-1	Peroxisome, Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00455	1094-61-7	35022	1,2,3,5,6,9	
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	Cytosol	C05266		45460	4,5,7	
suc6p	Sucrose 6-phosphate	C12H21O14P	-2	Cytosol	C02591		40149	1,5,7	
h2co3	carbonic acid	H2CO3	0	Extra-organism, Cytosol, Mitochondria			1436647	10,2,3,4	
kdo8p	3-Deoxy-D-manno-octulosonate 8-phosphate	C8H12O11P	-3	Cytosol	C04478		43894	1,3,5	
kdo	3-Deoxy-D-manno-2-octulosonate	C8H13O8	-1	Cytosol	C01187		37028	1,3,5	
u23ga	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine	C43H75N3O20P2	-2	Cytosol	C04652		44263	1,5	
acrn	O-Acetylcarnitine	C9H17NO4	0	Peroxisome, Cytosol, Endoplasmic Reticulum, Mitochondria	C02571		1442845	2,6	
3ophb_5	3-Hexaprenyl-4-hydroxybenzoate	C37H53O3	-1	Cytosol, Mitochondria			1449640	6	
sucglu	N2-Succinyl-L-glutamate	C9H10NO7	-3	Cytosol	C05931	33981-72-5	46951	1,10,4,5	
galctn-D	D-Galactonate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C00880		36277	1,5	
micit	methylisocitrate	C7H7O7	-3	Cytosol	C04593	20298-95-7	44122	1,2,4,5	
ethamp	Ethanolamine phosphate	C2H7NO4P	-1	Cytosol, Endoplasmic Reticulum	C00346	1071-23-4	1485304	2,6	
5prdmbz	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H17N2O7P	-2	Cytosol	C04778		44527	1,10,4,5	
itaccoa	Itaconyl-CoA	C26H35N7O19P3S	-5	Mitochondria	C00531		35266	2,6	
ssaltpp	Succinate semialdehyde-thiamin diphosphate anion	C16H21N4O10P2S	-3	Cytosol	C05816		46558	1,10,3,5,7	
N1aspmd	N1-Acetylspermidine	C9H23N3O	2	Cytosol	C00612	34450-16-3	35495	1,5,6	
gar	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	-1	Cytosol	C03838		42621	1,10,2,3,4,5,6,7,9	
cgly	Cys-Gly	C5H10N2O3S	0	Extra-organism, Cytosol, Periplasm	C01419	19246-18-5	1445980	10,2,3,5,6	
pc_SC	Phosphatidylcholine, yeast-specific	C4040H7844N100O800P100	0	Cytosol			1452857	6	
ps_HP	Phosphatidylserine Hp specific	C39H73NO10P	-1	Cytosol			1440950	3	
no	Nitric oxide	NO	0	Extra-organism, Cytosol, Periplasm	C00533	10102-43-9	35273	10,2,3,5	
acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	Extra-organism, Cytosol, Periplasm, Lysosome	C00140	7512-17-6	34006	1,10,2,5,7	
2ommb	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C48H72O3	0	Cytosol	C05814		46554	7	
bgly	N-Benzoylglycine	C9H8NO3	-1	Cytosol	C01586	495-69-2	37932	7	
copre8	cobalt-precorrin 8	C45H52N4O14Co	-6	Cytosol	C11545		1838497	10,9	
pa_SA	phosphatidate (Saureus)	C1560H3015O192P50	-100	Cytosol			1840415	7	
m3hdp	methyl-3-hydroxyl diphosphate	C5H11O8P2	-3	Cytosol			1842151	9	
dggpg	2,3-di-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H78O8P1	-1	Cytosol			1842473	9	
co	Carbon monoxide	CO	0	Extra-organism, Cytosol	C00237		1749973	10,2,9	
ohexa	2-oxohexanedioic acid	C6H6O5	-2	Cytosol			1886155	9	
3hcinnm	3-hydroxycinnamic acid	C9H7O3	-1	Extra-organism, Cytosol, Periplasm			1472404	1,5	
feoxam	ferroxamine	C25H46FeN6O8	1	Extra-organism, Cytosol, Periplasm	C07597		1899884	5	
xol7aone	7alpha-Hydroxycholest-4-en-3-one	C27H44O2	0	Cytosol, Endoplasmic Reticulum	C05455	67-97-0	45848	2	
g1p	D-Glucose 1-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00103	59-56-3	33865	1,10,2,3,4,5,6,7,9	
3hpcoa	3-Hydroxypropionyl-CoA	C24H36N7O18P3S	-4	Peroxisome, Cytosol, Mitochondria	C05668	608-07-1	46236	2	
mercppyr	Mercaptopyruvate	C3H3O3S	-1	Cytosol, Mitochondria	C00957		36476	2,5	
mi13456p	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate	C6H7O21P5	-10	Cytosol, Nucleus	C01284		37275	2	
mi1345p	1D-myo-Inositol 1,3,4,5-tetrakisphosphate	C6H8O18P4	-8	Cytosol, Nucleus	C01272		37244	2	
galgluside_hs	galactosyl glucosyl ceramide	C30H56NO12FULLRCO	0	Golgi Apparatus, Cytosol, Lysosome			2265473	2	
gt1b_hs	GT1b (homo sapiens)	C77H127N5O46FULLRCO	-3	Golgi Apparatus			2266618	2	
ksi_pre2	keratan sulfate I biosynthesis, precursor 2	C87H142N6O62X	-1	Golgi Apparatus			2296385	2	
12RHPET	12R-Hydroperoxyeicosatetraenoate	C20H31O4	-1	Cytosol			2296666	2	
cs_pre	chondroitin sulfate precursor (GalNAc-GlcA-(Gal)2-Xyl-L-Ser (protein))	C31H49NO25X	-1	Golgi Apparatus			2300728	2	
coumarin	coumarin	C9H6O2	0	Extra-organism, Cytosol	C05851	91-64-5	46647	2	
prostge2	Prostaglandin E2	C20H31O5	-1	Extra-organism, Cytosol, Endoplasmic Reticulum	C00584	363-24-6	35424	2	
tym	Tyramine	C8H12NO	1	Extra-organism, Cytosol, Periplasm	C00483	51-67-2	35110	2,5	
4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0	Extra-organism, Cytosol, Periplasm	C03765	60-11-7	42489	2,5	
chsterol	Cholesterol	C27H46O	0	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Mitochondria, Lysosome	C00187	57-88-5	34183	2	
udpxyl	UDP-D-xylose	C14H20N2O16P2	-2	Golgi Apparatus, Cytosol, Endoplasmic Reticulum	C00190	141-43-5	34192	2	
14glucan	1,4-alpha-D-glucan	C36H62O31	0	Extra-organism, Cytosol, Periplasm	C00718		2387686	5	
xol7ah2al	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	C27H46O3	0	Mitochondria	C05445	67-97-0	45826	2	
R2coa_hs	R group 2 Coenzyme A homo sapiens	XCO2C21H31N7O15P3S	-4	Cytosol, Endoplasmic Reticulum			2218049	2	
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)	C40H45N11O19	-6	Extra-organism, Cytosol, Mitochondria, Lysosome			2304242	2	
alaala	D-Alanyl-D-alanine	C6H12N2O3	0	Extra-organism, Cytosol, Periplasm	C00993	923-16-0	36564	1,10,3,4,5,7	
eicostetcrn	Eicosatetranoyl carnitine	C27H45NO4	0	Cytosol, Mitochondria			2614413	2	
tmndnccrn	Timnodonyl carnitine	C27H43NO4	0	Cytosol, Mitochondria			2614450	2	
ps180	phosphatidylserine (dioctadecanoyl, n-C18:0)	C42H81N1O10P1	-1	Cytosol	C02737		2617996	10,4,5	
rbt	Ribitol	C5H12O5	0	Extra-organism, Cytosol	C00474	488-81-3	35086	2	
24nph	2,4 dihydroxy nitrophenol	C6H5NO4	0	Extra-organism, Cytosol			2300001	2	
progly	L-Prolinylglycine	C7H12N2O3	0	Extra-organism, Cytosol, Periplasm			2704888	5	
crtstrn	Corticosterone	C21H30O4	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C02140	50-22-6	39187	2	
nh3	Ammonia	H3N	0	Cytosol	C00014	7664-41-7	37391	4	
oxptn	5-Oxopentanoate	C5H7O3	-1	Cytosol	C03273	11034-93-8	41536	4	
suchms	O-Succinyl-L-homoserine	C8H12NO6	-1	Cytosol	C01118	1492-23-5	36847	1,10,3,4,5,6,7	
urcan	Urocanate	C6H5N2O2	-1	Cytosol	C00785	104-98-3	35990	2,4,7	
ctp	CTP	C9H12N3O14P3	-4	Cytosol, Nucleus, Mitochondria	C00063	65-47-4	33710	1,10,2,3,4,5,6,7,9	
salcn	Salicin	C13H18O7	0	Extra-organism	C01451	138-52-3	37616	7	
fa5	Fatty acid (Iso-C16:1)	C16H29O2	-1	Cytosol			246174	7	
mqn8	Menaquinone 8	C51H72O2	0	Cytosol	C00828	84-81-1	199245	1,10,5,7	
mhpglu	5-Methyltetrahydropteroyltri-L-glutamate	C25H36N8O12	0	Cytosol	C04489		1444087	10,6,7	
taur	Taurine	C2H7NO3S	0	Peroxisome, Extra-organism, Cytosol, Periplasm	C00245	107-35-7	34373	1,2,4,5	
3hpppn	3-(3-hydroxy-phenyl)propionate	C9H9O3	-1	Extra-organism, Cytosol, Periplasm	C11457		1472372	1,5	
u3hga	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	C29H50N3O18P2	-1	Cytosol	C06022		47227	1,5	
udcp	Undecaprenol	C55H90O	0	Cytosol	C01968	15575-14-1	38802	7	
seramp	L-seryl-AMP	C13H19N6O9P	0	Cytosol	C05820		1516588	1,10,5	
m6mpdol_L	(alpha-D-Mannosyl)6-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog	C1660H2728N20O520P20	-20	Endoplasmic Reticulum			1809513	2	
n4m2masn	((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	C66H109N6O45X	0	Golgi Apparatus			1830652	2	
2mbdhl	S-(2-Methylbutanoyl)-dihydrolipoamide	C13H25NO2S2	0	Cytosol	C05118	59865-13-3	45146	7	
s2l2n2m2masn	de-Fuc form of PA6	C84H135N6O61X	-2	Extra-organism, Lysosome			1862476	2	
n2m2mn	de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)	C42H71N3O31	0	Lysosome			1862531	2	
normete-L	L-Normetanephrine	C9H14NO3	1	Cytosol	C05589	306-08-1	46080	2	
melatn	Melatonin	C13H16N2O2	0	Cytosol	C01598	73-31-4	37965	2	
Lcyst	L-Cysteate	C3H6NO5S	-1	Cytosol, Mitochondria	C00506	13100-82-8	35186	2	
pro-D	D-Proline	C5H9NO2	0	Peroxisome, Extra-organism, Cytosol, Lysosome	C00763	344-25-2	35916	2	
mkmeroacidACP	methyl hydroxy keto meroacid ACP (1 cyclopropane ring)	C70H135N2O9PRS	-1	Cytosol			2241711	10	
