abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	UDP-GalNAc, UNQ2513, FS, Globoside alpha-1,3-N-acetylgalactosaminyltransferase (Glycosyltransferase), MGC44848, forssman glycolipid synthetase, globoside alpha-1,3-N-acetylgalactosaminyltransferase	[g] : gbside_hs + udpacgal --> acgagbside_hs + h + udp	Golgi Apparatus		Irreversible	N	2266843	2	
DOLK_U	Dolichol kinase, human (uterus)		[c] : ctp + (0.1) dolichol_U --> cdp + (0.1) dolp_U + h	Cytosol	2.7.1.108	Irreversible	N	1809241	2	
DBTS	dethiobiotin synthase		[c] : atp + co2 + dann --> adp + dtbt + (3) h + pi	Cytosol	6.3.3.3	Irreversible	N	1529155	5	
ETFQO	Electron transfer flavoprotein-ubiquinone oxidoreductase		[m] : etfrd + q10 --> etfox + q10h2	Mitochondria	1.5.5.1	Irreversible	N	2300978	2	
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)		acmana[p] + pep[c] --> acmanap[c] + pyr[c]	Cytosol, Periplasm		Irreversible	Y	1911964	5	
SDPDS	succinyl-diaminopimelate desuccinylase		[c] : h2o + sl26da --> 26dap-LL + succ	Cytosol	3.5.1.18	Irreversible	N	1528729	1,10,3,4,5,7	
ARTFR206	R group artificial flux		arachdcoa[c] + (2) fadh2[m] + (2) h[m] + (2) nadph[m] --> (1.25) R2coa_hs[c] + (2) fad[m] + (2) nadp[m]	Cytosol, Mitochondria		Irreversible	Y	2414799	2	
ST8SIA56g	Alpha-2,8-sialyltransferase 8E	Alpha-2,8-sialyltransferase 8E (EC 2.4.99.-) (ST8Sia V)., SIAT8E, ST8Sia V, ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	[g] : acngal14acglcgalgluside_hs + cmpacna --> acnacngal14acglcgalgluside_hs + cmp + h	Golgi Apparatus	2.4.99.8	Irreversible	N	2419747	2	
TDSR1	thiol:disulfide reductase (DsbC)		dsbcox[p] + dsbdrd[c] --> dsbcrd[p] + dsbdox[c]	Cytosol, Periplasm		Irreversible	Y	2703974	5	
TKT1	transketolase		[c] : r5p + xu5p-D <==> g3p + s7p	Cytosol	2.2.1.1	Reversible	N	134985	1,10,2,3,4,5,6,7,8,9	
FAOXC18280m	Beta oxidation of fatty acid		[m] : (5) coa + (3) fad + (5) h2o + lneldccoa + (5) nad --> (5) accoa + (3) fadh2 + (5) h + (5) nadh + occoa	Mitochondria	1.3.99.3	Irreversible	N	2608072	2	
TETTET6CPT2	carnitine transferase		[m] : coa + tettet6crn --> crn + tettet6coa	Mitochondria		Irreversible	N	2614756	2	
HMSD2	2-Hydroxymuconate semialdehyde		[c] : h2o + hmccms + nad --> (2) h + hmccm + nadh	Cytosol	1.2.1.32	Irreversible	N	3462433	4	
PEAMNO	Phenethylamine oxidase		[c] : h2o + o2 + peamn --> h2o2 + nh4 + pacald	Cytosol	1.4.3.6	Irreversible	N	1486411	1,10,2	
RNMK	ribosylnicotinamide kinase		[c] : atp + rnam --> adp + h + nmn	Cytosol	2.7.1.22	Irreversible	N	204753	2	
UGLDDS1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine synthetase (alpha-glutamate)		[c] : alaala + atp + uAgl --> adp + pi + uAgla	Cytosol	6.3.2.10	Irreversible	N	226503	10	
MYCFLUX2	mycolic acid conglomeration flux		[c] : mmycolate --> rmyc	Cytosol		Irreversible	N	2242937	10	
NTD1	5'-nucleotidase (dUMP)		[c] : dump + h2o --> duri + pi	Cytosol	3.1.3.5	Irreversible	N	143670	1,10,2,5,6	
XYLt	D-xylose reversible transport		xyl-D[e] <==> xyl-D[c]	Extra-organism, Cytosol		Reversible	Y	1441913	2,6	
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)		idon-L[e] <==> idon-L[p]	Extra-organism, Periplasm		Reversible	Y	1915945	5	
GARFTi	phosphoribosylglycinamide formyltransferase, irreversible	GAR transformylase N	[c] : 10fthf + gar --> fgam + h + thf	Cytosol	2.1.2.2	Irreversible	N	1530023	3,6	
NDP8	nucleoside-diphosphatase (dUDP)		[c] : dudp + h2o --> dump + h + pi	Cytosol	3.6.1.6	Irreversible	N	243654	2	
GALTi	galactose-1-phosphate uridylyltransferase (irreversible)		[c] : gal1p + h + utp --> ppi + udpgal	Cytosol	2.7.7.10	Irreversible	N	1754577	3	
IDOND	L-idonate 5-dehydrogenase		[c] : 5dglcn + h + nadh <==> idon-L + nad	Cytosol		Reversible	N	1482539	1,5	
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)		2tdecg3p[p] --> 2tdecg3p[c]	Cytosol, Periplasm		Irreversible	Y	2707491	5	
DM_melanin(c)	DM_melanin(c)		[c] : melanin -->	Cytosol		Irreversible	N	2822859	2	
AIRC2	phosphoribosylaminoimidazole carboxylase		[c] : air + atp + hco3 --> 5caiz + adp + h + pi	Cytosol		Irreversible	N	1441415	1,10,5,7,9	
SBTpts	D-sorbitol transport via PEP:Pyr PTS		pep[c] + sbt-D[e] --> pyr[c] + sbt6p[c]	Extra-organism, Cytosol		Irreversible	Y	217832	1	
GHMT2	glycine hydroxymethyltransferase	serine hydroxymethyltransferase, Threonine aldolase, Serine aldolase, Serine hydroxymethylase, serine:H4F hydroxymethyltransferase	[c] : ser-L + thf --> gly + h2o + mlthf	Cytosol	2.1.2.1	Irreversible	N	1440236	1,10,7,9	
RNDR1n	ribonucleoside-diphosphate reductase, nuclear		[n] : adp + trdrd --> dadp + h2o + trdox	Nucleus	1.17.4.1	Irreversible	N	1442625	6	
DM_sprm(c)	DM_sprm(c)		[c] : sprm -->	Cytosol		Irreversible	N	2822856	2	
C4STMO1	C-4 sterol methyl oxidase (4,4-dimethylzymosterol)		[c] : 44mzym + (3) h + (3) nadph + (3) o2 --> 4mzym_int1 + (4) h2o + (3) nadp	Cytosol		Irreversible	N	1516732	6	
STS1	Steryl-sulfatase	Steryl-sulfate sulfohydrolase, Arylsulfatase C, Steroid sulfatase, ASC	[c] : dheas + h2o --> dhea + h + so4	Cytosol	3.1.6.2	Irreversible	N	2705426	2	
PLIPA1E180pp	Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)		[p] : h2o + pe180 --> 2agpe180 + h + ocdca	Periplasm	3.1.1.32	Irreversible	N	2706903	5	
DADNtex	deoxyadenosine transport via diffusion (extracellular to periplasm)		dad-2[e] <==> dad-2[p]	Extra-organism, Periplasm		Reversible	Y	1915134	5	
NCKt	Na+/Ca2+-K+ exchange		ca2[e] + k[e] + (4) na1[c] <==> ca2[c] + k[c] + (4) na1[e]	Extra-organism, Cytosol		Reversible	Y	2353536	2	
PYDXNK	pyridoxine kinase		[c] : atp + pydxn --> adp + h + pdx5p	Cytosol	2.7.1.35	Irreversible	N	1448685	1,2,5,6	
S2TASE3ly	iduronate-2-sulfatase, lysosomal	iduronate sulfate sulfatase, sulfoiduronate sulfohydrolase, L-iduronosulfatase, iduronate-2-sulfate sulfatase, chondroitinsulfatase, iduronide-2-sulfate sulfatase, L-iduronate 2-sulfate sulfatase, idurono-2-sulfatase, L-idurono sulfate sulfatase, 2-sulfo-L-iduronate 2-sulfatase, sulfo-L-iduronate sulfatase, iduronate sulfatase	[l] : cs_b_deg2 + h2o --> cs_b_deg3 + h + so4	Lysosome	3.1.6.13	Irreversible	N	2416030	2	
DOLDPP_Uer	Dolichyl-diphosphate phosphohydrolase, human (uterus)		[r] : (0.1) doldp_U + h2o --> (0.1) dolp_U + h + pi	Endoplasmic Reticulum	3.6.1.43	Irreversible	N	1809274	2	
IDOAASE4ly	alpha-L-iduronidase, lysosomal	L-iduronidase	[l] : cs_b_deg3 + h2o --> cs_a_deg3 + idour	Lysosome	3.2.1.76	Irreversible	N	2416048	2	
MCLACCYSR	3-mercaptolactate:cysteine reductase		[c] : cys-L + mercplac + nad --> h + mercplaccys + nadh	Cytosol		Irreversible	N	2742952	2	
GALASE19ly	beta-galactosidase, lysosomal	oryzatym, beta-D-galactanase, maxilact, beta-lactosidase, trilactase, beta-D-lactosidase, beta-D-galactoside galactohydrolase, sumiklat, hydrolact, lactase, lactozym, S 2107	[l] : f1a + h2o --> core6 + gal	Lysosome	3.2.1.23	Irreversible	N	2418220	2	
AKGDa	oxoglutarate dehydrogenase (lipoamide)		[c] : akg + h + lpam <==> co2 + sdhlam	Cytosol	1.2.4.2	Reversible	N	135035	4,7	
EBASTINEOHtr	xenobiotic transport		ebastineoh[r] <==> ebastineoh[c]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2704690	2	
ASPGLUm	aspartate-glutamate mitochondrial shuttle		asp-L[m] + glu-L[c] + h[c] <==> asp-L[c] + glu-L[m] + h[m]	Cytosol, Mitochondria		Reversible	Y	1721798	2	
PFK26	6-phosphofructo-2-kinase		[c] : atp + f6p --> adp + f26bp + h	Cytosol	2.7.1.105	Irreversible	N	225777	2,6	
DHORD7	dihydroorotic acid dehydrogenase (f420)		[c] : dhor-S + f420-2 <==> f420-2h2 + orot	Cytosol	1.3.3.1	Reversible	N	1917676	9	
NAtx	sodium transport via diffusion (perioxisome)		na1[c] <==> na1[x]	Peroxisome, Cytosol		Reversible	Y	2633692	2	
NADPPPSm	NADP phosphatase		[m] : h2o + nadp --> nad + pi	Mitochondria		Irreversible	N	1441975	6	
3OXOADPt(pp)	3-oxoadipate MFS transporter		3oxoadp[p] + h[p] <==> 3oxoadp[c] + h[c]	Cytosol, Periplasm		Reversible	Y	3435258	4	
ACHtn	Acetylcholin transport, nuclear trhough pores		ach[n] <==> ach[c]	Nucleus, Cytosol		Reversible	Y	2702216	2	
SUCOAS	succinyl-CoA synthetase (ADP-forming)		[c] : atp + coa + succ <==> adp + pi + succoa	Cytosol	6.2.1.5	Reversible	N	135430	1,10,4,5,7,8	
ECAP_EC	ECA polymerization (Ecoli)		[c] : unagamuf --> eca_EC + h + udcpdp	Cytosol		Irreversible	N	1483768	1	
PRGNLONEtr	pregnenolone intracellular transport		prgnlone[c] <==> prgnlone[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2705650	2	
FAS100ACPm	fatty-acyl-ACP synthase (n-C10:0ACP), mitochondrial		[m] : (3) h + malACP + (2) nadph + ocACP --> ACP + co2 + dcaACP + h2o + (2) nadp	Mitochondria		Irreversible	N	1513022	6	
GLYATm	glycine C-acetyltransferase		[m] : accoa + gly <==> 2aobut + coa	Mitochondria	2.3.1.29	Reversible	N	2199446	2	
ACP1e	acid phosphatase, extracellular (secreted)		[e] : fmn + h2o --> pi + ribflv	Extra-organism	3.1.3.2	Irreversible	N	1449166	6	
H2Otpp	H2O transport via diffusion (periplasm)		h2o[p] <==> h2o[c]	Cytosol, Periplasm		Reversible	Y	1912396	4,5	
PUTA3	puta3		[c] : glu5sa + h2o + nad --> glu-L + (2) h + nadh	Cytosol	1.5.1.12	Irreversible	N	1751891	3	
5ADTSTSTERONEtr	5 alpha dihydrotesterone intracellular transport		5adtststerone[r] <==> 5adtststerone[c]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2423423	2	
CYSTGLr	cystathionine gamma-lyase	cysteine desulfhydrase, cystine desulfhydrase, gamma-CTL, cystathionase, homoserine dehydratase, cystalysin, gamma-cystathionase, homoserine deaminase-cystathionase, homoserine deaminase, cystathionine gamma-lyase, cysteine lyase	[c] : cyst-L + h2o <==> 2obut + cys-L + nh4	Cytosol	4.4.1.1	Reversible	N	2300518	4	
GGNG	glycogenin self-glucosylation		[c] : Tyr-ggn + (8) udpg --> ggn + (8) h + (8) udp	Cytosol		Irreversible	N	2214453	2	
AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	acyl-ACP synthase	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi	Cytosol	6.2.1.20	Irreversible	N	1511992	1,5	
TMDK1	thymidine kinase (ATP:thymidine)		[c] : atp + thymd --> adp + dtmp + h	Cytosol	2.7.1.21	Irreversible	N	145408	1,10,2,3,5,6,7,9	
SBPP3er	sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase), endoplasmic reticulum		[r] : h2o + sphs1p --> pi + sphings	Endoplasmic Reticulum		Irreversible	N	2274097	2	
PTHPSn	6-pyruvoyltetrahydropterin synthase, nuclear		[n] : ahdt --> 6pthp + pppi	Nucleus	4.2.3.12	Irreversible	N	2302192	2	
MOTS	maltooligosyltrehalose synthase		[c] : malthp --> motre	Cytosol		Irreversible	N	3201365	10	
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)		23camp[e] <==> 23camp[p]	Extra-organism, Periplasm		Reversible	Y	2326081	5	
HPYRI	hydroxypyruvate isomerase		[c] : hpyr <==> 2h3oppan	Cytosol	5.3.1.22	Reversible	N	1486478	1,4,5	
CRNabcpp	L-carnitine transport via ABC system (periplasm)		atp[c] + crn[p] + h2o[c] --> adp[c] + crn[c] + h[c] + pi[c]	Cytosol, Periplasm		Irreversible	Y	2386171	4,5	
ARTFR54	R group artificial flux		(3) fadh2[m] + (2) h[m] + (2) nadph[m] + tetpent6coa[c] --> (1.5) R5coa_hs[c] + (3) fad[m] + (2) nadp[m]	Cytosol, Mitochondria		Irreversible	Y	2414974	2	
GLCNt2r	D-gluconate transport via proton symport, reversible		glcn[e] + h[e] <==> glcn[c] + h[c]	Extra-organism, Cytosol		Reversible	Y	1487127	1,7,9	
CHLPCTD	choline phosphate cytididyltransferase		[c] : cholp + ctp + h --> cdpchol + ppi	Cytosol	2.7.7.15	Irreversible	N	1485845	2,6	
DHNAOT4	1,4-dihydroxy-2-naphthoate octaprenyltransferase		[c] : dhna + h + octdp --> 2dmmql8 + co2 + ppi	Cytosol		Irreversible	N	2932750	5	
CLt3_2pp	chloride transport out via proton antiport (2:1) (periplasm)		(2) cl[p] + h[c] --> (2) cl[c] + h[p]	Cytosol, Periplasm		Irreversible	Y	3241100	5	
UAPGR	UDP-N-acetylenolpyruvoylglucosamine reductase		[c] : h + nadph + uaccg --> nadp + uamr	Cytosol	1.1.1.158	Irreversible	N	226848	1,10,3,4,5,7,9	
C161CRNt	C161 transport into the mitochondria		hdcecrn[c] --> hdcecrn[m]	Cytosol, Mitochondria		Irreversible	Y	2362876	2	
FACOAE161	fatty-acid-CoA thioesterase (hexadecenoate)		[c] : h2o + hdcoa --> coa + h + hdcea	Cytosol		Irreversible	N	2708145	5	
GALASE20ly	beta-galactosidase, lysosomal	oryzatym, beta-lactosidase, maxilact, beta-D-galactanase, trilactase, beta-D-galactoside galactohydrolase, beta-D-lactosidase, lactase, sumiklat, hydrolact, S 2107, lactozym	[l] : (2) h2o + ksii_core4_deg2 --> (2) gal + ksii_core4_deg3	Lysosome	3.2.1.23	Irreversible	N	2418237	2	
ARGt5r	L-arginine transport via diffusion		arg-L[e] <==> arg-L[c]	Extra-organism, Cytosol		Reversible	Y	2456640	10	
23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	2',3'-Cyclic AMP 3'-nucleotidohydrolase	[p] : 23camp + h2o --> 3amp + h	Periplasm	3.1.4.16	Irreversible	N	2326048	5	
MSO3abcpp	methanesulfonate transport via ABC system (periplasm)		atp[c] + h2o[c] + mso3[p] --> adp[c] + h[c] + mso3[c] + pi[c]	Cytosol, Periplasm		Irreversible	Y	2325362	4,5	
GAMt1r	glucosamine transport (uniport)		gam[e] <==> gam[c]	Extra-organism, Cytosol		Reversible	Y	2306967	2	
SERASr	(L-seryl)adenylate synthase		[c] : atp + h + ser-L <==> ppi + seramp	Cytosol		Reversible	N	1516613	1,5	
NDPK10m	nucleoside-diphosphate kinase (ATP:dIDP), mitochondrial		[m] : atp + didp <==> adp + ditp	Mitochondria	2.7.4.6	Reversible	N	2208753	2	
DHNPAm	dihydroneopterin aldolase		[m] : dhnpt --> 2ahhmp + gcald + h	Mitochondria	4.1.2.25	Irreversible	N	1553582	6	
TCHOLAt	taurocholate transport via bicarbonate countertransport		hco3[c] + tchola[e] <==> hco3[e] + tchola[c]	Extra-organism, Cytosol		Reversible	Y	2324653	2	
ACSOMT	S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase		[c] : 5hoxindoa + amet --> 5moxact + ahcys + h	Cytosol	2.1.1.4	Irreversible	N	2198649	2	
LNLCCRNt	transport into the mitochondria (carnitine)		lnlccrn[c] --> lnlccrn[m]	Cytosol, Mitochondria		Irreversible	Y	2614557	2	
GDCHOLAte	bile acid intracellular transport		gdchola[e] <==> gdchola[c]	Extra-organism, Cytosol		Reversible	Y	2704201	2	
SIAASE2ly	sialidase, lysosomal	acetylneuraminidase, neuraminidase, exo-alpha-sialidase, alpha-neuraminidase	[l] : h2o + ksi_deg3 --> acnam + ksi_deg4	Lysosome	3.2.1.18	Irreversible	N	2416997	2	
FATP3t	fatty acid electroneutral transport		na1[c] + ocdca[c] <==> na1[e] + ocdca[e]	Extra-organism, Cytosol		Reversible	Y	2327610	2	
SBPP1	sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase)		[c] : h2o + sph1p --> pi + sphgn	Cytosol		Irreversible	N	1486052	6	
NDPK10	nucleoside-diphosphate kinase (ATP:dIDP)		[c] : atp + didp <==> adp + ditp	Cytosol	2.7.4.6	Reversible	N	2208700	2	
PROGLYabcpp	L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm)		atp[c] + h2o[c] + progly[p] --> adp[c] + h[c] + pi[c] + progly[c]	Cytosol, Periplasm		Irreversible	Y	2704896	5	
FPGSm	folylpolyglutamate synthetase, mitochondrial		[m] : (4) atp + (4) glu-L + thf --> 5thf + (4) adp + (4) h + (4) pi	Mitochondria	6.3.2.17	Irreversible	N	2304214	2	
4HBZFm	4-hydroxybenzoate formation		[m] : 4hbzcoa + h2o --> 4hbz + coa + h	Mitochondria		Irreversible	N	2392581	2	
CYSTAm	cysteine transaminase (mitochondrial)		[m] : akg + cys-L <==> glu-L + mercppyr	Mitochondria	2.6.1.3	Reversible	N	2305324	2	
P45019A1r	aromatase	P-450AROM, Cytochrome P450 19A1, CYPXIX, estrogen synthetase	[r] : andrstndn + nadph + (2) o2 --> estrone + for + (2) h2o + nadp	Endoplasmic Reticulum	1.14.14.1	Irreversible	N	2211700	2	
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	beta-hydroxyacyl-acyl carrier protein dehydratases, 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase;, beta-hydroxydecanoate dehydrase, D-3-hydroxydecanoyl-[acyl-carrier protein] dehydratase;, 3-hydroxydecanoyl-acyl carrier protein dehydrase;, beta-hydroxydecanoyl thioester dehydrase;, 3-hydroxydecanoyl-acyl carrier protein dehydratase;	[c] : 3hdecACP --> h2o + tdec2eACP	Cytosol	4.2.1.60	Irreversible	N	2616012	4,5	
LPSSYN_EC	Lipopolysaccharide synthesis (Ecoli)		[c] : (3) adphep-LD + (2) cdpea + (3) ckdo + lipa + (2) udpg --> (3) adp + (2) cdp + (3) cmp + (10) h + lps_EC + (2) udp	Cytosol		Irreversible	N	1488135	1	
ENTCS	enterochelin synthase		[c] : (3) 23dhba + (3) seramp --> (6) amp + enter + (9) h	Cytosol		Irreversible	N	1817578	10,5	
ADPGLC	ADPglucose diphosphatase		[c] : adpglc + h2o --> amp + g1p + (2) h	Cytosol	3.6.1.21	Irreversible	N	2206025	2	
UGT1A6r	UDP-glucuronosyltransferase 1-10 precursor, microsomal	UGT1.10, UDPGT, UGT1-10, UGT1*10, UGT-1J, UGT1J	[r] : estradiol + udpglcur --> estradiolglc + udp	Endoplasmic Reticulum	2.4.1.17	Irreversible	N	2304918	2	
ACACtx	acetoacetate intracellular transport unknown mechanism		acac[c] <==> acac[x]	Peroxisome, Cytosol		Reversible	Y	2734889	2	
COBALTt5	cobalt transport in/out via permease (no H+)		cobalt2[c] <==> cobalt2[e]	Extra-organism, Cytosol		Reversible	Y	1800694	10,9	
ENMAN4g	Endomannosidase (m6masnC-producing), Golgi apparatus		[g] : g1m7masnC + h2o --> glc1man + m6masnC	Golgi Apparatus		Irreversible	N	1838968	2	
ARACHDtr	intracellular transport		arachd[c] <==> arachd[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2705697	2	
FAOXC16080x	Beta oxidation of long chain fatty acid		[x] : (4) coa + (4) h2o + (4) nad + (4) o2 + pmtcoa --> (4) accoa + (4) h + (4) h2o2 + (4) nadh + occoa	Peroxisome	1.3.99.3	Irreversible	N	2608237	2	
CYTK5n	cytidylate kinase (CMP),nuclear		[n] : cmp + gtp <==> cdp + gdp	Nucleus	2.7.4.14	Reversible	N	2218633	2	
GTHOm	glutathione oxidoreductase		[m] : gthox + h + nadph --> (2) gthrd + nadp	Mitochondria	1.8.1.7	Irreversible	N	1616953	2	
CYO1b	cytochrome-c oxidase (2 protons)		[c] : (2) focytc + (0.5) o2 --> (2) ficytc + h2o	Cytosol	1.9.3.1	Irreversible	N	1310473	10,4	
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	beta-hydroxyacyl-acyl carrier protein dehydratases	[c] : 3haACP --> but2eACP + h2o	Cytosol	4.2.1.58	Irreversible	N	2615997	4,5	
ASPK	aspartate kinase		[c] : asp-L + atp <==> 4pasp + adp	Cytosol	2.7.2.4	Reversible	N	141151	1,10,3,5	
F4NH	F420-noneducing Hydrogenase		(1.8) h[c] + h2[e] + mphen[c] --> (1.8) h[e] + mphenh2[c]	Extra-organism, Cytosol		Irreversible	Y	2255704	9	
T2M26DCOAHLm	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m)		[m] : h2o + t2m26dcoa <==> 3h26dm5coa	Mitochondria	4.2.1.17	Reversible	N	2266117	2	
PIabc	phosphate transport via ABC system		atp[c] + h2o[c] + pi[e] --> adp[c] + h[c] + (2) pi[c]	Extra-organism, Cytosol		Irreversible	Y	217323	1,10,7,9	
PPCSCT	Propanoyl-CoA: succinate CoA-transferase		[c] : ppcoa + succ --> ppa + succoa	Cytosol		Irreversible	N	1460505	1,10,5	
S6T13g	galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus		[g] : ksi_pre31 + paps --> h + ksi_pre32 + pap	Golgi Apparatus		Irreversible	N	2297319	2	
LPLIPA5	Lysophospholipase L (acyl transfer to phosphatidylglycerol)		[c] : (0.02) agpc_EC + (0.02) pg_EC --> (0.02) apg_EC + g3pc	Cytosol		Irreversible	N	1484499	1	
PGSA160190	Phosphatidylglycerol synthase (C16:0,C19:0)		[c] : cdpc16c19g + glyc3p --> cmp + h + pgp160190	Cytosol	2.7.8.5	Irreversible	N	3139599	10	
CITRtm	citrulline mitochondrial transport via proton antiport		citr-L[m] <==> citr-L[c]	Cytosol, Mitochondria		Reversible	Y	1721757	2	
G14T14g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	thyroid glycoprotein beta-galactosyltransferase, beta-N-acetyl-beta1-4-galactosyltransferase, UDP-galactose-glycoprotein galactosyltransferase, glycoprotein 4-beta-galactosyl-transferase, thyroid galactosyltransferase, glycoprotein beta-galactosyltransferase, uridine diphosphogalactose-glycoprotein galactosyltransferase	[g] : ksi_pre26 + udpgal --> h + ksi_pre27 + udp	Golgi Apparatus	2.4.1.38	Irreversible	N	2297209	2	
CYOO_HP	cytochrome c 553 oxidase, Hpylori		(4) focytcc553[c] + (5.98) h[c] + o2[c] --> (4) ficytcc553[c] + (2) h[e] + (1.99) h2o[c] + (0.005) o2s[c]	Extra-organism, Cytosol	1.9.3.1	Irreversible	Y	1757387	3	
G16MTM2	Glycolipid 16-alpha-D-mannosyltransferase		[c] : Ac1PIM1 + gdpmann --> Ac1PIM2 + gdp + h	Cytosol	2.4.1.131	Irreversible	N	2920272	10	
HACD4i	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)		[c] : 3hdcoa + nad --> 3odcoa + h + nadh	Cytosol	1.1.1.35	Irreversible	N	1723958	4,5	
GNK	gluconokinase		[c] : atp + glcn --> 6pgc + adp + h	Cytosol	2.7.1.12	Irreversible	N	137288	1,4,5,7	
FACOAL1832	fatty-acid--CoA ligase		[c] : atp + coa + lnlnca <==> amp + lnlncacoa + ppi	Cytosol	6.2.1.3	Reversible	N	2219035	2	
PGLS	methoxy fucose rhamnose rhamnose phenol phthiocerol dimycocerosate synthesis		[c] : (4) amet + frrppdima --> (4) ahcys + (4) h + mfrrppdima	Cytosol		Irreversible	N	3116041	10	
MLTG2	Maltodextrin glucosidase (maltotetraose)		[c] : h2o + maltttr --> glc-D + malttr	Cytosol		Irreversible	N	1486124	1,5	
ELAIDCPT2	carnitine transferase		[m] : coa + elaidcrn --> crn + od2coa	Mitochondria		Irreversible	N	2614701	2	
OPHHX	2-Octaprenylphenol hydroxylase		[c] : 2oph + (0.5) o2 --> 2ohph	Cytosol		Irreversible	N	1446507	1,5	
ARBTNR1	aerobactin reductase		[c] : (2) arbtn-fe3 + fadh2 --> (2) arbtn + fad + (2) fe2 + (2) h	Cytosol		Irreversible	N	2262682	5	
PTRCORNt7	putrescine/ornithine antiporter	AR	orn[c] + ptrc[e] <==> orn[e] + ptrc[c]	Extra-organism, Cytosol		Reversible	Y	1491240	1,7	
BTNt2	Biotin reversible transport via proton symport		btn[e] + h[e] <==> btn[c] + h[c]	Extra-organism, Cytosol		Reversible	Y	1449416	2	
GLCRt2rpp	D-glucarate transport via proton symport, reversible (periplasm)		glcr[p] + h[p] <==> glcr[c] + h[c]	Cytosol, Periplasm		Reversible	Y	1912300	5	
ALAtN1	Alanine transport (Na, H coupled)		ala-L[e] + h[c] + (2) na1[e] <==> ala-L[c] + h[e] + (2) na1[c]	Extra-organism, Cytosol		Reversible	Y	2302915	2	
biomass_SA_3b	SA biomass 3 without ions		[c] : (0.42) 12dgr_EC + (1.27) 26dap-LL + (0.01) SA_FREE_FA + (0.38) acgam + (1.22) acgam1p + (6.6) ala-L + (3.11) amp + (3.88) arg-L + (4.48) asn-L + (4.48) asp-L + (20000) atp + (2.51) clpn_EC + (2.2) cmp + (0.79) cys-L + (0.76) damp + (0.53) dcmp + (0.012068) dgdcg_SA + (0.6) dgmp + (0.73) dtmp + (0.23) gam1p + (0.38) glc-D + (5.3) glcp_SA + (8.72) gln-L + (9.68) glu-L + (3.51) gly + (4.01) gmp + (20000) h2o + (1.45) his-L + (4.06) ile-L + (5.21) leu-L + (5.45) lys-L + (1.94) met-L + (0.01) pala_SA + (0.89) pe_EC + (2.31) pg_EC + (0.01) pgly_SA + (3.33) phe-L + (0.01) pleu_SA + (0.15) plys_SA + (2.12) pro-L + (2.6) ser-L + (2.86) tcam + (2.54) thr-L + (1.27) trp-L + (2.3) tyr-L + (1.78) uamr + (2.39) ump + (4.12) val-L --> (20000) adp + (20000) h + (20000) pi	Cytosol		Irreversible	N	1840066	7	
NDPK2n	nucleoside-diphosphate kinase (ATP:UDP), nuclear		[n] : atp + udp <==> adp + utp	Nucleus	2.7.4.6	Reversible	N	2208715	2	
INSTt2r	inositol transport in via proton symport		h[e] + inost[e] <==> h[c] + inost[c]	Extra-organism, Cytosol		Reversible	Y	2308184	2	
GLUTRS(Gln)	Glutamyl-tRNA synthetase (Gln)		[c] : atp + glu-L + trnagln --> amp + glutrna(gln) + ppi	Cytosol	6.1.1.17	Irreversible	N	1821555	9	
